,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
152,30.357802,5.016862,0.165613,0.301042,-1.974714,7.529059,4.981839,1.707129,16.023612
153,30.557525,4.942026,0.225432,0.309402,-1.775909,7.597184,5.252595,1.595675,16.023612
154,30.757247,4.876370,0.284094,0.307062,-1.569751,7.659812,5.613796,1.436935,16.023612
155,30.956970,4.820940,0.338306,0.289422,-1.357122,7.714238,6.057445,1.210143,16.023612
156,31.156692,4.776012,0.385021,0.255286,-1.139068,7.757800,6.539873,0.943564,16.023612
157,31.356414,4.741118,0.422135,0.205557,-0.917103,7.789825,6.941473,0.898890,16.023612
158,31.556137,4.715243,0.448660,0.143466,-0.694154,7.818696,7.205364,1.072606,16.023612
159,31.755859,4.697276,0.464439,0.073172,-0.472155,7.851743,7.350531,1.020144,16.023612
160,31.955582,4.686396,0.469521,-0.001807,-0.250982,7.882439,7.319572,0.567553,16.023612
161,32.155304,4.682158,0.463925,-0.077120,-0.030722,7.899517,7.051535,0.043029,16.023612
162,32.355026,4.684591,0.447585,-0.146541,0.187765,7.900851,6.576218,-0.632860,16.023612
163,32.554749,4.694203,0.420668,-0.205016,0.402098,7.880224,6.110957,-0.762820,16.023612
164,32.754471,4.711681,0.383828,-0.251500,0.612616,7.853946,5.664784,-0.898894,16.023612
165,32.954193,4.737604,0.338100,-0.287361,0.817919,7.821368,5.250228,-0.980741,16.023612
166,33.153916,4.772340,0.284619,-0.314322,1.016725,7.784231,4.853051,-1.029413,16.023612
167,33.353638,4.816088,0.224526,-0.332786,1.207624,7.743738,4.456097,-1.053174,16.023612
168,33.553361,4.868969,0.159333,-0.338134,1.389116,7.700843,4.092242,-1.065517,16.023612
169,33.753083,4.930442,0.092520,-0.325190,1.559733,7.656419,3.794547,-1.068052,16.023612
170,33.952805,4.998948,0.028779,-0.297727,1.718331,7.611778,3.520526,-1.088479,16.023612
171,34.152528,5.072908,-0.029018,-0.265749,1.863712,7.566830,3.215448,-1.139036,16.023612
172,34.352250,5.151431,-0.080736,-0.237908,1.994592,7.520467,2.863116,-1.211959,16.023612
173,34.551973,5.234036,-0.127756,-0.217057,2.109837,7.471684,2.485045,-1.288208,16.023612
174,34.751695,5.320000,-0.171202,-0.199663,2.208768,7.420399,2.134635,-1.278331,16.023612
175,34.951417,5.408245,-0.211046,-0.181094,2.292466,7.370277,1.870131,-1.047732,16.023612
176,35.151140,5.497935,-0.246790,-0.160813,2.364501,7.329919,1.684012,-0.617534,16.023612
177,35.350862,5.588618,-0.278230,-0.140035,2.428227,7.306551,1.497991,-0.173813,16.023612
178,35.550584,5.679889,-0.305268,-0.118896,2.483895,7.300091,1.198297,0.041832,16.023612
179,35.750307,5.771377,-0.327869,-0.097873,2.527646,7.301619,0.819299,0.106921,16.023612
180,35.950029,5.862798,-0.346232,-0.078324,2.557107,7.305463,0.416269,0.128919,16.023612
181,36.149752,5.953806,-0.360795,-0.061106,2.571879,7.310039,-0.035238,0.048223,16.023612
182,36.349474,6.043834,-0.371988,-0.045746,2.570646,7.311727,-0.540351,-0.151005,16.023612
183,36.549196,6.132340,-0.380140,-0.032147,2.551974,7.306509,-1.034820,-0.346752,16.023612
184,36.748919,6.218963,-0.385715,-0.021213,2.516603,7.294657,-1.388533,-0.278321,16.023612
185,36.948641,6.303425,-0.389350,-0.013678,2.469561,7.285228,-1.558402,0.151106,16.023612
186,37.148364,6.385439,-0.391726,-0.008970,2.417253,7.290300,-1.699926,0.630481,16.023612
187,37.348086,6.464586,-0.393206,-0.004773,2.360937,7.311187,-2.103347,0.514700,16.023612
188,37.547808,6.540492,-0.393690,0.000370,2.292316,7.327979,-2.494255,0.368262,16.023612
189,37.747531,6.613008,-0.393040,0.005669,2.212005,7.339836,-2.847551,0.234123,16.023612
190,37.947253,6.682057,-0.391360,0.009947,2.121255,7.347297,-3.163302,0.111629,16.023612
191,38.146975,6.747513,-0.388938,0.012569,2.021289,7.350825,-3.444153,-0.000302,16.023612
192,38.346698,6.809185,-0.386131,0.013648,1.913321,7.350816,-3.694640,-0.103227,16.023612
193,38.546420,6.866830,-0.383181,0.014136,1.798567,7.347609,-3.911757,-0.198778,16.023612
194,38.746143,6.920305,-0.380131,0.014631,1.678237,7.341495,-4.091526,-0.288280,16.023612
195,38.945865,6.969557,-0.376971,0.015278,1.553527,7.332708,-4.236614,-0.373327,16.023612
196,39.145587,7.014529,-0.373621,0.016644,1.425617,7.321437,-4.348720,-0.455529,16.023612
197,39.345310,7.055190,-0.369852,0.019537,1.295664,7.307824,-4.425253,-0.536047,16.023612
198,39.545032,7.091570,-0.365288,0.024455,1.164799,7.291972,-4.460081,-0.615409,16.023612
199,39.744755,7.123783,-0.359524,0.031164,1.034125,7.273941,-4.452882,-0.694635,16.023612
200,39.944477,7.151956,-0.352234,0.039398,0.904716,7.253754,-4.405241,-0.774965,16.023612
201,40.144199,7.176225,-0.343116,0.049078,0.777618,7.231395,-4.319797,-0.857795,16.023612
202,40.343922,7.196731,-0.331880,0.060468,0.653853,7.206819,-4.203670,-0.945122,16.023612
203,40.543644,7.213612,-0.318104,0.074892,0.534415,7.179965,-4.049598,-1.011146,16.023612
204,40.743366,7.227062,-0.301092,0.093215,0.420323,7.151477,-3.840429,-0.923940,16.023612
205,40.943089,7.237331,-0.280114,0.114588,0.312718,7.125589,-3.608706,-0.929274,16.023612
206,41.142811,7.244663,-0.254650,0.137933,0.211830,7.099610,-3.334202,-0.693976,16.023612
