%time,field.header.seq,field.header.stamp,field.header.frame_id,field.need_vel_planner,field.state
5986547000000,207007,5986547000000,,0,GB_TRACK
5986547000000,207008,5986547000000,,0,GB_TRACK
5986564000000,207009,5986564000000,,0,GB_TRACK
5986598000000,207010,5986581000000,,0,GB_TRACK
5986598000000,207011,5986581000000,,0,GB_TRACK
5986598000000,207012,5986598000000,,0,GB_TRACK
5986632000000,207013,5986615000000,,0,GB_TRACK
5986649000000,207014,5986632000000,,0,GB_TRACK
5986649000000,207015,5986632000000,,0,GB_TRACK
5986649000000,207016,5986649000000,,0,GB_TRACK
5986669000000,207017,5986669000000,,0,GB_TRACK
5986669000000,207018,5986669000000,,0,GB_TRACK
5986720000000,207019,5986686000000,,0,GB_TRACK
5986720000000,207020,5986703000000,,0,GB_TRACK
5986720000000,207021,5986720000000,,0,GB_TRACK
5986720000000,207022,5986720000000,,0,GB_TRACK
5986737000000,207023,5986737000000,,0,GB_TRACK
5986756000000,207024,5986756000000,,0,GB_TRACK
5986756000000,207025,5986756000000,,0,GB_TRACK
5986773000000,207026,5986773000000,,0,GB_TRACK
5986790000000,207027,5986790000000,,0,GB_TRACK
5986807000000,207028,5986807000000,,0,GB_TRACK
5986824000000,207029,5986824000000,,0,GB_TRACK
5986841000000,207030,5986841000000,,0,GB_TRACK
5986841000000,207031,5986841000000,,0,GB_TRACK
5986841000000,207032,5986841000000,,0,GB_TRACK
5986856000000,207033,5986856000000,,0,GB_TRACK
5986890000000,207034,5986873000000,,0,GB_TRACK
5986890000000,207035,5986890000000,,0,GB_TRACK
5986907000000,207036,5986907000000,,0,GB_TRACK
5986907000000,207037,5986907000000,,0,GB_TRACK
5986924000000,207038,5986924000000,,0,GB_TRACK
5986941000000,207039,5986941000000,,0,GB_TRACK
5986941000000,207040,5986941000000,,0,GB_TRACK
5986958000000,207041,5986958000000,,0,GB_TRACK
5986975000000,207042,5986975000000,,0,GB_TRACK
5986992000000,207043,5986992000000,,0,GB_TRACK
5986992000000,207044,5986992000000,,0,GB_TRACK
5987009000000,207045,5987009000000,,0,GB_TRACK
5987026000000,207046,5987026000000,,0,GB_TRACK
5987043000000,207047,5987043000000,,0,GB_TRACK
5987043000000,207048,5987043000000,,0,GB_TRACK
5987063000000,207049,5987063000000,,0,GB_TRACK
5987080000000,207050,5987080000000,,0,GB_TRACK
5987080000000,207051,5987080000000,,0,GB_TRACK
5987080000000,207052,5987097000000,,0,GB_TRACK
5987114000000,207053,5987114000000,,0,GB_TRACK
5987131000000,207054,5987131000000,,0,GB_TRACK
5987131000000,207055,5987131000000,,0,GB_TRACK
5987148000000,207056,5987148000000,,0,GB_TRACK
5987165000000,207057,5987165000000,,0,GB_TRACK
5987182000000,207058,5987182000000,,0,GB_TRACK
5987199000000,207059,5987182000000,,0,GB_TRACK
5987199000000,207060,5987199000000,,0,GB_TRACK
5987233000000,207061,5987233000000,,0,GB_TRACK
5987233000000,207062,5987233000000,,0,GB_TRACK
5987250000000,207063,5987233000000,,0,GB_TRACK
5987250000000,207064,5987250000000,,0,GB_TRACK
5987267000000,207065,5987267000000,,0,GB_TRACK
5987267000000,207066,5987267000000,,0,GB_TRACK
