%time,field.data
5980810000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980810000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980827000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980844000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980861000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980861000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980895000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 75.0, "rc_age_ms": 75.0, "n_wpnts": 80}
5980912000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 92.0, "rc_age_ms": 92.0, "n_wpnts": 80}
5980912000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 109.0, "rc_age_ms": 109.0, "n_wpnts": 80}
5980929000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 109.0, "rc_age_ms": 109.0, "n_wpnts": 80}
5980946000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 126.0, "rc_age_ms": 126.0, "n_wpnts": 80}
5980963000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5980980000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980980000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5980997000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981031000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981048000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981048000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981048000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981068000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 27.0, "rc_age_ms": 27.0, "n_wpnts": 80}
5981068000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 27.0, "rc_age_ms": 27.0, "n_wpnts": 80}
5981085000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 44.0, "rc_age_ms": 44.0, "n_wpnts": 80}
5981119000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 44.0, "rc_age_ms": 44.0, "n_wpnts": 80}
5981136000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981136000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981136000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981153000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981170000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981170000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981187000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981221000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981221000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 58.0, "rc_age_ms": 58.0, "n_wpnts": 80}
5981238000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981238000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
5981272000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981272000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 41.0, "rc_age_ms": 41.0, "n_wpnts": 80}
5981289000000,{"sm_state": "GB_TRACK", "path_source": "GB", "mpc_mode_echo": "recover", "trail_targets_n": 0, "ot_age_ms": 24.0, "rc_age_ms": 24.0, "n_wpnts": 80}
